"ticker","name","group","exchange","exchange_tier","index","dr","dr_count","dr_symbols","sector","industry","price","dollar_vol","mcap","stage","pct_from_52wh","last_bar","status"
"GOOG","Alphabet Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","GOOG06 GOOG23 GOOG80","Technology","Computer Software: Programming Data Processing","341.7","6860000000.0","4175911452672.0","6","-15.5","2026-08-19","active"
"GOOGL","Alphabet Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","GOOGL01 GOOGL03 GOOGL19","Technology","Computer Software: Programming Data Processing","344.72","10300000000.0","4230334382080.0","6","-15.6","2026-08-19","active"
"GS","Goldman Sachs Group, Inc. (The)","US","NYSE","NYSE","SP500+DOW30","Y","1","GSUS06","Finance","Investment Bankers/Brokers/Service","1021.65","2000000000.0","302649376768.0","6","-11.5","2026-08-19","active"
"HOOD","Robinhood Markets, Inc.","US","NASDAQ","NASDAQ Global Select","SP500","Y","3","HOOD03 HOOD06 HOOD80","Finance","Investment Bankers/Brokers/Service","95.77","1660000000.0","83875389440.0","3","-37.8","2026-08-19","active"
"IBM","International Business Machines Corporation","US","NYSE","NYSE","SP500+DOW30","Y","1","IBM06","Technology","Computer Manufacturing","237.16","1700000000.0","223549652992.0","8","-28.7","2026-08-19","active"
"INTC","Intel Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","INTEL01 INTEL03 INTEL19 INTEL23","Technology","Semiconductors","92.8","11600000000.0","512722567168.0","6","-34.8","2026-08-19","active"
"ISRG","Intuitive Surgical, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","ISRG01 ISRG06 ISRG19 ISRG80","Health Care","Industrial Specialties","397.72","1170000000.0","125079699456.0","1","-34.1","2026-08-19","active"
"JNJ","Johnson & Johnson","US","NYSE","NYSE","SP500+DOW30","Y","1","JNJ03","Health Care","Biotechnology: Pharmaceutical Preparations","273.41","1830000000.0","627417088000.0","5","-1.11","2026-08-19","active"
"JPM","JP Morgan Chase & Co.","US","NYSE","NYSE","SP500+DOW30","Y","2","JPMUS06 JPMUS19","Finance","Major Banks","357.26","2240000000.0","959498878976.0","4","-2.52","2026-08-19","active"
"KLAC","KLA Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","KLAC01 KLAC19 KLAC23","Technology","Electronic Components","187.27","2300000000.0","254502240256.0","6","-39.1","2026-08-19","active"
"KO","Coca-Cola Company (The)","US","NYSE","NYSE","SP500+DOW30","Y","1","KO80","Consumer Staples","Beverages (Production/Distribution)","90.35","1380000000.0","376128831488.0","5","-0.627","2026-08-19","active"
"LITE","Lumentum Holdings Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","LITE01 LITE23 LITE80","Telecommunications","Telecommunications Equipment","827.6","4360000000.0","82056003584.0","3","-23.8","2026-08-19","active"
"LLY","Eli Lilly and Company","US","NYSE","NYSE","SP500","Y","2","LLY23 LLY80","Health Care","Biotechnology: Pharmaceutical Preparations","1280.34","3270000000.0","1078115303424.0","5","-0.952","2026-08-19","active"
"LRCX","Lam Research Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","LRCX01 LRCX19 LRCX23 LRCX80","Technology","Industrial Machinery/Components","307.17","3270000000.0","415889031168.0","6","-29.9","2026-08-19","active"
"LULU","lululemon athletica inc.","US","NASDAQ","NASDAQ Global Select","SP500","Y","1","LULU06","Consumer Discretionary","Apparel","119.45","308000000.0","13575371776.0","8","-47.1","2026-08-19","active"
"MA","Mastercard Incorporated","US","NYSE","NYSE","SP500","Y","1","MA80","Consumer Discretionary","Business Services","573.72","1720000000.0","498703663104.0","5","-4.23","2026-08-19","active"
"META","Meta Platforms, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","META01 META06 META23 META80","Technology","Computer Software: Programming Data Processing","546.03","9950000000.0","1391014838272.0","8","-30.7","2026-08-19","active"
"MNST","Monster Beverage Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","MNST06","Consumer Staples","Beverages (Production/Distribution)","47.43","521000000.0","91722801152.0","7","-52.7","2026-08-19","active"
"MPWR","Monolithic Power Systems, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","MPWR23","Technology","Semiconductors","1300.14","1150000000.0","68898979840.0","6","-24.1","2026-08-19","active"
"MRVL","Marvell Technology, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","MRVL06 MRVL23 MRVL80","Technology","Semiconductors","237.27","4780000000.0","188969009152.0","5","-28.1","2026-08-19","active"
"MS","Morgan Stanley","US","NYSE","NYSE","SP500","Y","1","MS06","Finance","Investment Bankers/Brokers/Service","214.23","1010000000.0","343293362176.0","3","-7.76","2026-08-19","active"
"MSFT","Microsoft Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","6","MSFT01 MSFT03 MSFT06 MSFT19 MSFT23 MSFT80","Technology","Computer Software: Prepackaged Software","484.31","17300000000.0","3741064101888.0","5","-12.0","2026-08-19","active"
"MU","Micron Technology, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","5","MICRON01 MICRON03 MICRON19 MICRON23 MICRON80","Technology","Semiconductors","937.105","36100000000.0","1062487916544.0","5","-25.3","2026-08-19","active"
"NDAQ","Nasdaq, Inc.","US","NASDAQ","NASDAQ Global Select","SP500","Y","1","NDAQ06","Finance","Investment Bankers/Brokers/Service","96.35","293000000.0","54231982080.0","5","-4.7","2026-08-19","active"
"NEE","NextEra Energy, Inc.","US","NYSE","NYSE","SP500","Y","1","NEE80","Technology","EDP Services","85.91","912000000.0","179414990848.0","6","-12.4","2026-08-19","active"
"NEM","Newmont Corporation","US","NYSE","NYSE","SP500","Y","2","NEM06 NEM23","Basic Materials","Precious Metals","125.08","778000000.0","124167094272.0","5","-6.86","2026-08-19","active"
"NFLX","Netflix, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","2","NFLX06 NFLX80","Consumer Discretionary","Consumer Electronics/Video Chains","80.22","2600000000.0","325786632192.0","1","-36.7","2026-08-19","active"
"NKE","Nike, Inc.","US","NYSE","NYSE","SP500+DOW30","Y","1","NIKE80","Consumer Discretionary","Shoe Manufacturing","41.05","1010000000.0","60422901760.0","8","-47.4","2026-08-19","active"
"NOW","ServiceNow, Inc.","US","NYSE","NYSE","SP500","Y","1","NOW19","Technology","Computer Software: Prepackaged Software","127.2","2730000000.0","129170718720.0","2","-34.7","2026-08-19","active"
"NVDA","NVIDIA Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","6","NVDA01 NVDA03 NVDA06 NVDA19 NVDA23 NVDA80","Technology","Semiconductors","217.56","25000000000.0","5456991354880.0","4","-7.92","2026-08-19","active"
"ON","ON Semiconductor Corporation","US","NASDAQ","NASDAQ Global Select","SP500","Y","1","ON23","Technology","Semiconductors","76.58","824000000.0","30919135232.0","7","-43.2","2026-08-19","active"
"ORCL","Oracle Corporation","US","NYSE","NYSE","SP500","Y","4","ORCL01 ORCL06 ORCL19 ORCL80","Technology","Computer Software: Prepackaged Software","143.81","4250000000.0","411302428672.0","8","-58.1","2026-08-19","active"
"PANW","Palo Alto Networks, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","2","PANW19 PANW80","Technology","Computer peripheral equipment","359.76","2020000000.0","306244419584.0","3","-9.81","2026-08-19","active"
"PEP","Pepsico, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","PEP80","Consumer Staples","Beverages (Production/Distribution)","142.58","986000000.0","189068066816.0","1","-15.2","2026-08-19","active"
"PLTR","Palantir Technologies Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","PLTR01 PLTR03 PLTR06 PLTR23","Technology","Computer Software: Prepackaged Software","175.19","7230000000.0","414647746560.0","5","-15.6","2026-08-19","active"
"PYPL","PayPal Holdings, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","PYPL06","Industrials","Diversified Commercial Services","61.25","666000000.0","51729719296.0","5","-22.0","2026-08-19","active"
"QCOM","QUALCOMM Incorporated","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","QCOM06","Technology","Radio And Television Broadcasting And Communications Equipment","161.91","1830000000.0","170043375616.0","7","-37.5","2026-08-19","active"
"SBUX","Starbucks Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","SBUX80","Consumer Discretionary","Restaurants","104.98","805000000.0","123678597120.0","3","-4.46","2026-08-19","active"
"SMCI","Super Micro Computer, Inc.","US","NASDAQ","NASDAQ Global Select","SP500","Y","1","SMCI03","Technology","Computer Manufacturing","36.58","1920000000.0","24199520256.0","2","-37.8","2026-08-19","active"
"SNDK","Sandisk Corporation","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","SNDK03 SNDK23 SNDK80","Technology","Electronic Components","1568.87","24000000000.0","239602057216.0","3","-33.4","2026-08-19","active"
"SNPS","Synopsys, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","2","SYNP03 SYNP23","Technology","Computer Software: Prepackaged Software","401.24","650000000.0","80708534272.0","8","-35.8","2026-08-19","active"
"STX","Seagate Technology Holdings PLC","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","1","SEAGATE23","Technology","Electronic Components","832.56","4620000000.0","204814106624.0","6","-27.2","2026-08-19","active"
"TEL","TE Connectivity plc","US","NYSE","NYSE","SP500","Y","2","TEL23 TEL80","Technology","Electronic Components","203.57","468000000.0","62934384640.0","8","-19.1","2026-08-19","active"
"TER","Teradyne, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","3","TER01 TER23 TER80","Industrials","Electrical Products","379.65","1340000000.0","59354767360.0","3","-22.2","2026-08-19","active"
"TRV","The Travelers Companies, Inc.","US","NYSE","NYSE","SP500+DOW30","Y","1","TRVUS06","Finance","Property-Casualty Insurers","362.22","730000000.0","77206134784.0","3","-9.15","2026-08-19","active"
"TSLA","Tesla, Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX","Y","4","TSLA01 TSLA03 TSLA23 TSLA80","Industrials","Auto Manufacturing","351.12","12700000000.0","1351811596288.0","8","-29.6","2026-08-19","active"
"UBER","Uber Technologies, Inc.","US","NYSE","NYSE","SP500","Y","1","UBER06","Consumer Discretionary","Business Services","78.04","1530000000.0","155132428288.0","2","-23.5","2026-08-19","active"
"UNH","UnitedHealth Group Incorporated","US","NYSE","NYSE","SP500+DOW30","Y","1","UNH19","Health Care","Medical Specialities","388.61","1770000000.0","360590770176.0","6","-15.8","2026-08-19","active"
"VRT","Vertiv Holdings, LLC","US","NYSE","NYSE","SP500","Y","3","VRT01 VRT23 VRT80","Technology","Industrial Machinery/Components","261.0","1660000000.0","113124917248.0","6","-31.3","2026-08-19","active"
"WMT","Walmart Inc.","US","NASDAQ","NASDAQ Global Select","SP500+NDX+DOW30","Y","2","WMT06 WMT80","Consumer Discretionary","Department/Specialty Retail Stores","114.3","2470000000.0","909608419328.0","8","-15.4","2026-08-19","active"
